REPOSITORY                                                        TAG                                    IMAGE ID       CREATED         SIZE
simulator_simulator                                               ASSET_v14.2.1_2023-10-26-15h23-27Z     5907dbce0b39   3 months ago    773MB
simulator_simulator                                               ASSET_v14.2.1_2024-02-01-17h11_PerfZ   5907dbce0b39   3 months ago    773MB
projet_application_de_livraison_a_la_demande_projetweb-frontend   latest                                 ab63875c09d7   4 months ago    1.23GB
projet_application_de_livraison_a_la_demande_projetweb-backend    latest                                 43ef091a8d79   4 months ago    931MB
le_marrekch_frontend                                              latest                                 1a3502a3d8bb   4 months ago    1.42GB
le_marrekch_backend                                               latest                                 3373374c4bee   4 months ago    1.12GB
mongo                                                             latest                                 ee3b4d1239f1   4 months ago    748MB
node                                                              18                                     cf58080ad70c   4 months ago    1.09GB
mongo-express                                                     latest                                 a776ee465303   4 months ago    247MB
node                                                              16                                     1ddc7e4055fd   5 months ago    909MB
jenkins/jenkins                                                   lts                                    825c3e86c65d   7 months ago    471MB
mohcinetor/python-ops-app                                         v3                                     ae81e7e95a3a   8 months ago    125MB
mohcinetor/python-ops-app                                         v1                                     491042492305   8 months ago    125MB
mohcinetor/python-ops-app                                         v2                                     491042492305   8 months ago    125MB
react_django_demo_app-web                                         latest                                 517ef34b2895   8 months ago    953MB
dockermohcine/test-app                                            v5                                     6b722607ccf3   8 months ago    144MB
dockermohcine/test-app                                            v6                                     6b722607ccf3   8 months ago    144MB
dockermohcine/test-app                                            v7                                     6b722607ccf3   8 months ago    144MB
catthehacker/ubuntu                                               act-20.04                              925c80e24ecb   8 months ago    1.1GB
catthehacker/ubuntu                                               act-latest                             93ac673b6f1d   8 months ago    1.08GB
dockermohcine/test-app                                            <none>                                 8e0ee38a6819   8 months ago    145MB
catthehacker/ubuntu                                               <none>                                 ad68ada41536   8 months ago    1.1GB
hello-world                                                       latest                                 9c7a54a9a43c   9 months ago    13.3kB
babylon                                                           latest                                 077b4a0bb9b5   13 months ago   2.2GB
ghcr.io/cosmo-tech/babylon                                        1.2.0                                  077b4a0bb9b5   13 months ago   2.2GB
